"Name","Manufacturer","Type","Calories","Protein (g)","Fat (g)","Sodium (mg)","Fibre (g)","Carbo (g)","Sugar (g)","Shelf","Potassium (mg)","Vitamins","Weight (oz)","Cups"
"100%_Bran","N","cold",70,4,1,130,10.00,5.00,6.00,3,280,25,1.00,0.33
"100%_Natural_Bran","Q","cold",120,3,5,15,2.00,8.00,8.00,3,135,0,1.00,
"All-Bran","K","cold",70,4,1,260,9.00,7.00,5.00,3,320,25,1.00,0.33
"All-Bran_with_Extra_Fiber","K","cold",50,4,0,140,14.00,8.00,0.00,3,330,25,1.00,0.50
"Almond_Delight","R","cold",110,2,2,200,1.00,14.00,8.00,3,,25,1.00,0.75
"Apple_Cinnamon_Cheerios","G","cold",110,2,2,180,1.50,10.50,10.00,1,70,25,1.00,0.75
"Apple_Jacks","K","cold",110,2,0,125,1.00,11.00,14.00,2,30,25,1.00,1.00
"Basic_4","G","cold",130,3,2,210,2.00,18.00,8.00,3,100,25,1.33,0.75
"Bran_Chex","R","cold",90,2,1,200,4.00,15.00,6.00,1,125,25,1.00,0.67
"Bran_Flakes","P","cold",90,3,0,210,5.00,13.00,5.00,3,190,25,1.00,0.67
"Cap'n'Crunch","Q","cold",120,1,2,220,0.00,12.00,12.00,2,35,25,1.00,0.75
"Cheerios","G","cold",110,6,2,290,2.00,17.00,1.00,1,105,25,1.00,1.25
"Cinnamon_Toast_Crunch","G","cold",120,1,3,210,0.00,13.00,9.00,2,45,25,1.00,0.75
"Clusters","G","cold",110,3,2,140,2.00,13.00,7.00,3,105,25,1.00,0.50
"Cocoa_Puffs","G","cold",110,1,1,180,0.00,12.00,13.00,2,55,25,1.00,1.00
"Corn_Chex","R","cold",110,2,0,280,0.00,22.00,3.00,1,25,25,1.00,1.00
"Corn_Flakes","K","cold",100,2,0,290,1.00,21.00,2.00,1,35,25,1.00,1.00
"Corn_Pops","K","cold",110,1,0,90,1.00,13.00,12.00,2,20,25,1.00,1.00
"Count_Chocula","G","cold",110,1,1,180,0.00,12.00,13.00,2,65,25,1.00,1.00
"Cracklin'_Oat_Bran","K","cold",110,3,3,140,4.00,10.00,7.00,3,160,25,1.00,0.50
"Cream_of_Wheat_(Quick)","N","hot",100,3,0,80,1.00,21.00,0.00,2,,0,1.00,1.00
"Crispix","K","cold",110,2,0,220,1.00,21.00,3.00,3,30,25,1.00,1.00
"Crispy_Wheat_&_Raisins","G","cold",100,2,1,140,2.00,11.00,10.00,3,120,25,1.00,0.75
"Double_Chex","R","cold",100,2,0,190,1.00,18.00,5.00,3,80,25,1.00,0.75
"Froot_Loops","K","cold",110,2,1,125,1.00,11.00,13.00,2,30,25,1.00,1.00
"Frosted_Flakes","K","cold",110,1,0,200,1.00,14.00,11.00,1,25,25,1.00,0.75
"Frosted_Mini-Wheats","K","cold",100,3,0,0,3.00,14.00,7.00,2,100,25,1.00,0.88
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats","P","cold",120,3,2,160,5.00,12.00,10.00,3,200,25,1.25,0.67
"Fruitful_Bran","K","cold",120,3,0,240,5.00,14.00,12.00,3,190,25,1.33,0.67
"Fruity_Pebbles","P","cold",110,1,1,135,0.00,13.00,12.00,2,25,25,1.00,0.75
"Golden_Crisp","P","cold",100,2,0,45,0.00,11.00,15.00,1,40,25,1.00,0.88
"Golden_Grahams","G","cold",110,1,1,280,0.00,15.00,9.00,2,45,25,1.00,0.75
"Grape_Nuts_Flakes","P","cold",100,3,1,140,3.00,15.00,5.00,3,85,25,1.00,0.88
