City,Automobile Mechanic - Gross (New York = 100),Automobile Mechanic - Gross (USD),"Automobile Mechanic - Gross, annual (New York = 100)","Automobile Mechanic - Net, annual (New York = 100)",Average annual (gross) - (USD),Average hourly (gross) - (USD),Average hourly (net) - (USD),Bus Driver - Gross (New York = 100),Bus Driver - Gross (USD),"Bus Driver - Gross, annual (New York = 100)","Bus Driver - Net, annual (New York = 100)",Call Center Agent - Gross (New York = 100),Call Center Agent - Gross (USD),"Call Center Agent - Gross, annual (New York = 100)","Call Center Agent - Net, annual (New York = 100)",Carpenter - Gross (New York = 100),Carpenter - Gross (USD),"Carpenter - Gross, annual (New York = 100)","Carpenter - Net, annual (New York = 100)",Construction Worker - Gross (New York = 100),Construction Worker - Gross (USD),"Construction Worker - Gross, annual (New York = 100)","Construction Worker - Net, annual (New York = 100)",Cook - Gross (New York = 100),Cook - Gross (USD),"Cook - Gross, annual (New York = 100)","Cook - Net, annual (New York = 100)",Department Manager - Gross (New York = 100),Department Manager - Gross (USD),"Department Manager - Gross, annual (New York = 100)","Department Manager - Net, annual (New York = 100)",General Practitioner - Gross (New York = 100),General Practitioner - Gross (USD),"General Practitioner - Gross, annual (New York = 100)","General Practitioner - Net, annual (New York = 100)",Industrial Technician - Gross (USD),"Industrial Technician - Gross, annual (New York = 100)","Industrial Technician - Net, annual (New York = 100)",Nurse - Gross (New York = 100),Nurse - Gross (USD),"Nurse - Gross, annual (New York = 100)","Nurse - Net, annual (New York = 100)",Practice Assistant - Gross (New York = 100),Practice Assistant - Gross (USD),"Practice Assistant - Gross, annual (New York = 100)","Practice Assistant - Net, annual (New York = 100)",Primary School Teacher - Gross (New York = 100),Primary School Teacher - Gross (USD),"Primary School Teacher - Gross, annual (New York = 100)","Primary School Teacher - Net, annual (New York = 100)",Product Manager - Gross (New York = 100),Product Manager - Gross (USD),"Product Manager - Gross, annual (New York = 100)","Product Manager - Net, annual (New York = 100)",Sales Assistant - Gross (New York = 100),Sales Assistant - Gross (USD),"Sales Assistant - Gross, annual (New York = 100)","Sales Assistant - Net, annual (New York = 100)",Secretary - Gross (New York = 100),Secretary - Gross (USD),"Secretary - Gross, annual (New York = 100)","Secretary - Net, annual (New York = 100)","Taxes and Social Security (average) - Social security contribution, employee (%)",Taxes and Social Security (average) - Tax (%),Working hours and vacation days (average) - Vacation per year (NY = 100),Working hours and vacation days (average) - Vacation per year (days),Working hours and vacation days (average) - Work per year (NY = 100),Working hours and vacation days (average) - Work per year (hours),Exchange Rates - Currency Unit,Exchange Rates - LC/USD,Exchange Rates - Local Currency (LC),"Domestic Purchasing Power - Gross, hourly (New York = 100)",Domestic Purchasing Power - Net (New York = 100),"Domestic Purchasing Power - Net, hourly (New York = 100)",Price Level - excl. rent (New York = 100),Price Level - incl. rent (New York = 100),Wage Level (gross) - (New York = 100),Wage Level (net annual) - (New York = 100),Wage Level (net) - (New York = 100),"Working time required to buy… - Big Mac, net (NY = 100)","Working time required to buy… - Big Mac, net (minutes)",Working time required to buy… - Haircut Men (NY = 100),Working time required to buy… - Haircut Men (minutes),Working time required to buy… - Haircut Women (NY = 100),Working time required to buy… - Haircut Women (minutes),"Working time required to buy… - iPhone X 64GB, net (NY = 100)","Working time required to buy… - iPhone X 64GB, net (hours)",City Breaks - (New York = 100),City Breaks - (USD),Food - (New York = 100),Food - (USD),Home Electronics and Household Appliances - Home Electronics (New York = 100),Home Electronics and Household Appliances - Home Electronics (USD),Home Electronics and Household Appliances - Household Appliances (New York = 100),Home Electronics and Household Appliances - Household Appliances (USD),Housing - (New York = 100),Housing - (USD),Public Transport - (New York = 100),"Public Transport - Bus, Tram or Metro (USD)",Public Transport - Public Transportation (USD),Public Transport - Taxi (USD),Public Transport - Train (USD),"Restaurants and Hotels - Hotel, first-class international (USD)","Restaurants and Hotels - Hotel, good mid-range (USD)",Restaurants and Hotels - Restaurant (USD),Services - (New York = 100),Services - (USD),Total expenditure on goods and services - (New York = 100),Total expenditure on goods and services - (USD),Women's and Men's Clothing - Men's clothing (New York = 100),Women's and Men's Clothing - Men's clothing (USD),Women's and Men's Clothing - Women's clothing (New York = 100),Women's and Men's Clothing - Women's clothing (USD),Longitude,Latitude,City Code,Country,Region,Continent,Development
Nairobi,11.24,5072.76,11.2,12.2,6626.19,2.9,2.22,6.61,2865.06,6.6,7.3,15.65,4761.9,15.6,16.9,6.13,2606.71,6.1,6.8,3.47,1079.1,3.5,3.9,15.95,10890,16,16.8,17.65,20535.62,17.7,19.4,10.04,21384,10,12.1,6778.64,13.7,14.5,11,9288.97,11,12,22.16,9108,22.2,22.7,7.22,5257.36,7.2,8.2,14.63,16739.25,14.6,16.2,11.4,4399.56,11.4,12.4,18.61,8019,18.6,19.3,3.3,18.4,144.3,21.9,111.7,2285,100,0.99,KES,19.1,24,20.9,52.7,45,10.1,12.7,11,881.49,133.8,137.4,175.99,182.29,391.47,1068,577.7,41.4,445.73,47.8,229.08,109.8,4249.51,112.8,802.37025,14.2,544.45,24.3,0.59,15.02,9.53,4.9,253.47,136.75,29.21,43.67,587.05,52.74,1937.08,16.4,162.06,29.3,188.09,36.817,-1.283,NBO,Kenya,Africa,Central Africa,Developing
Rome,68.88,31082.83,68.9,60.8,32935.46,20.83,13.25,75.54,32738.46,75.5,66.5,51.92,15802.5,51.9,46.5,66.72,28370.5,66.7,59.1,91.46,28425.32,91.5,80.4,84.78,57874.45,84.8,72.3,52.66,61263.83,52.7,47.9,34.76,74010,34.8,34.1,49256.81,99.5,83.9,39.2,33098.92,39.2,36.6,114.05,46873,114.1,96.1,40.46,29466.95,40.5,37.5,44.09,50457,44.1,41.1,67.6,26096.47,67.6,60,54.12,23313.15,54.1,48.4,9.8,26.2,153.1,23.3,77.3,1581,1,1.2335,EUR,89.1,65,81.3,81,72,72.2,52.7,65.9,154.56,23.5,87.3,111.75,115.78,248.63,196.9,106.5,72.5,780.21,71.7,343.47,110.9,4292.24,161.5,1148.894235,36.5,1397.97,59,1.85,36.52,18.93,15.74,342.6,152.95,120.27,74.54,1002.15,81.01,2975.36,87.9,869.58,108.2,695.43,12.45,41.9,ROM,Italy,Europe,Western Europe,Industrialized
Bogota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,4.01,,273.38,76.57,40.61,44.29,595.47,55.5,2038.57,,,,,-74.25,-4.533,BOG,Colombia,Americas,South America,Developing
Berlin,79.34,35804.94,79.3,77.2,40002.04,22.3,15.88,72.1,31249.6,72.1,70.8,82.99,25256.32,83,82.2,80.93,34414.65,80.9,78.9,95.85,29788.64,95.8,93.7,56.37,38476.98,56.4,56.9,75.39,87701.85,75.4,80.4,63.8,135833.02,63.8,69.5,44130.93,89.2,86.3,44.3,37403.56,44.3,45.6,66.51,27334.36,66.5,65.9,92.92,67673.86,92.9,93.7,61.01,69823.5,61,65.8,72.74,28083.6,72.7,71.8,70.66,30439.67,70.7,69.5,19.4,8.7,184.6,28.1,87.7,1794,1,1.2335,EUR,96.9,91.6,99,79.8,69.8,77.3,73.1,79,120.92,18.4,54.6,69.89,68.35,146.77,164.9,89.2,57.1,614.38,74,354.33,118.4,4579,161.6,1149.492483,30.2,1159.49,108.2,3.73,66.98,16.44,46.81,219.56,125.2,84.8,75.21,1011.17,79.8,2931.22,75.1,742.99,103.2,663.28,13.417,52.5,BER,Germany,Europe,Western Europe,Industrialized
Copenhagen,114.26,51562.72,114.3,98.4,50051.86,29.24,18.56,115.53,50073.21,115.5,99.6,136.14,41433.78,136.1,118.4,122.57,52121.28,122.6,105.3,152.96,47539.12,153,131.5,80.05,54645.35,80.1,71.5,66.32,77158.67,66.3,62.3,38.67,82326.96,38.7,39.9,54120.13,109.3,94.4,69.82,58951.28,69.8,63.2,131.42,54008.12,131.4,112.5,84.88,61820.29,84.9,75.6,81.84,93668.99,81.8,76,94.11,36332.31,94.1,83.4,142,61171.98,142,120.6,0.3,36.1,188.6,28.7,83.7,1712,1,0.1656,DKK,95.5,77,87,106.1,94.4,101.3,81.7,92.3,111.05,16.9,172.1,220.34,132.09,283.68,128.6,69.6,76.2,819.7,104.7,501.3,107.3,4151.18,161.3,1147.64802,48.7,1867.03,107.2,4.64,66.38,17.88,43.86,344.99,169.7,96.46,104.08,1399.17,106.1,3897.01,95,939.89,145.7,936.44,12.583,55.667,CPH,Denmark,Europe,Western Europe,Industrialized
Budapest,19.26,8692.2,19.3,17.3,10560.88,5.67,3.77,25.16,10902.78,25.2,22.5,41.14,12520.99,41.1,36.5,27.44,11668.14,27.4,24.6,21.07,6549.84,21.1,18.7,27.3,18632.46,27.3,25.5,20.54,23892.18,20.5,20.6,6.47,13780.8,6.5,7.2,8444.7,17.1,15.4,10.08,8507.67,10.1,9.6,20.42,8393.46,20.4,18.3,16.88,12296.49,16.9,15.9,19.4,22203.83,19.4,19.4,20.78,8021.17,20.8,18.6,24.09,10379.03,24.1,21.6,18.5,15,158.3,24.1,91,1862,100,0.396,HUF,35.2,31.7,33.6,55.9,48.3,19.7,17.7,18.8,366.02,55.6,116.2,148.85,148.09,318.02,737.6,399,47.5,511.34,63.7,305.03,143.6,5553.77,100.6,715.38192,18.1,692.97,41.6,1.39,25.75,8.21,16.15,250.67,107.14,52.96,45.62,613.37,55.89,2052.69,52.8,522.19,61,392.03,19.083,47.5,BUD,Hungary,Europe,Eastern Europe,Transition
Prague,34.37,15510.27,34.4,31.9,13855.36,7.71,5.31,38.7,16774.45,38.7,35.9,45.31,13790.22,45.3,41.7,28.59,12156.8,28.6,26.5,31.18,9691.55,31.2,28.7,22.22,15166.31,22.2,21.5,19.37,22537.57,19.4,20.1,14.93,31793.15,14.9,17.1,18360.37,37.1,34.7,16.29,13755.13,16.3,16,29.5,12122.98,29.5,27.3,19.85,14454.29,19.8,19.3,22.1,25297.79,22.1,22.9,28.59,11035.89,28.6,26.5,34.92,15042.41,34.9,32.4,11,20.1,178.5,27.1,87.9,1798,1,0.0486,CZK,42.2,38.5,41.7,63.4,55.2,26.7,24.4,26.4,278.51,42.3,242.3,310.28,281.29,604.08,507.4,274.5,50.9,547.85,62.1,297.44,132.2,5113.04,143.8,1023.190356,23,882.95,36.9,1.36,22.86,8.63,12.87,112.93,85.93,53.46,56.02,753.08,63.37,2327.48,76.3,755.5,108.6,697.89,14.45,50.067,PRG,Czech Republic,Europe,Eastern Europe,Transition
Dublin,73.82,33312.18,73.8,76.4,41153.47,22.18,16.58,100.08,43374.79,100.1,103.5,97.11,29555.48,97.1,99.6,60.36,25669.14,60.4,62.4,99.88,31043.08,99.9,102.5,73.45,50138.21,73.4,76.9,62.9,73170.53,62.9,68.6,45.77,97446.5,45.8,52.3,49423.88,99.8,104,58.29,49212.81,58.3,64,97.93,40246.02,97.9,101.1,64.45,46938.79,64.4,69.9,72.61,83102.13,72.6,77.1,80.41,31043.08,80.4,82.9,94.93,40897.38,94.9,98.1,4,20.6,142.5,21.7,90.7,1856,1,1.2335,EUR,88.8,88.7,95.2,86.6,81.3,76.9,76.8,82.5,116.69,17.7,52.3,66.94,96.29,206.78,162.1,87.7,61.7,664.19,79.6,381.16,121.8,4712.23,148.8,1058.63904,60.5,2317.95,83.4,3.45,51.66,12.92,35.29,340.86,170.84,61.68,77.49,1041.7,86.59,3180.43,53,524.57,61,392.21,-6.25,53.333,DUB,Ireland,Europe,Western Europe,Industrialized
Bucharest,20.37,9192.21,20.4,16.1,11144.72,6.12,3.58,42.24,18307.26,42.2,33.3,22.17,6747.67,22.2,17.3,22.43,9536.4,22.4,17.7,36.23,11259.49,36.2,28.3,25.99,17741.24,26,21.3,20.87,24284.27,20.9,18.4,8.71,18543,8.7,8.5,9236.53,18.7,14.8,15.27,12896.32,15.3,12.8,19.34,7947,19.3,15.2,8.99,6548.02,9,7.4,23.34,26716.33,23.3,20.6,24.97,9638.32,25,19.6,17.13,7379.76,17.1,13.5,35,6.5,156.6,23.8,89,1820,1,0.2649,RON,39.1,30.2,32.8,54.3,46.2,21.2,16.4,17.8,264.52,40.2,129.1,165.3,103.32,221.88,731.5,395.7,37.9,407.57,42,200.91,115.4,4465.56,98.1,698.0499105,13.8,530.68,24.6,0.58,15.24,2.57,12.09,171.81,63.61,40.52,49.91,671.02,54.32,1995.36,55.9,553.57,88.4,568.54,26.117,44.417,BUH,Romania,Europe,Eastern Europe,Transition
Moscow,16.01,7223.63,16,18.8,9068.37,5.27,4.59,29.06,12594.44,29.1,34,26.59,8091.4,26.6,30.9,19.03,8091.4,19,22.3,22.22,6907.01,22.2,25.8,21.37,14587.97,21.4,26.1,20.87,24274.2,20.9,27.4,7.44,15831,7.4,10.8,11843.93,23.9,28.2,9.53,8044.49,9.5,11.8,25.68,10554,25.7,30,12.57,9158.53,12.6,15.4,13.89,15901.36,13.9,18.2,18.29,7059.45,18.3,21.4,24.39,10507.09,24.4,28.6,0,13,219.3,33.3,84.1,1720,1,0.0176,RUB,29.7,33.6,37,61.6,57.3,18.3,20.7,22.8,196.97,29.9,314.4,402.57,249.05,534.85,552.8,299,56.5,608.1,47.7,228.64,128.7,4978.02,124.5,885.243135,40.5,1553.1,49.3,0.97,30.55,7.12,22.46,322.2,134.12,57.26,58.13,781.55,61.65,2264.32,95.8,948.57,169.3,1088.44,37.6,55.75,MOW,Russia,Europe,Eastern Europe,Transition
